Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ kỳ hạn 20 năm đợt 03/2015
Mã chứng khoán:,TL1535301
Mã ISIN:,VNTL15353012
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 61/2015/GCNTP-VSD do VSD cấp lần đầu ngày 15/9/2015, số 61/2015/GCNTP-VSD-1 cấp thay đổi lần 1 ngày 14/10/2015"
Tổng số chứng khoán đăng ký:,11.200.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.120.000.000.000 đồng
Hình thức phát hành:,Bán lẻ
Lãi suất:,7.75%/năm
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày  01/09 từ năm 2016 đến năm đáo hạn.							"
Kỳ hạn:,20 năm
Ngày phát hành:,01/09/2015
Ngày đáo hạn:,01/09/2035
Nơi quản lý tại VSD:,Trụ sở chính
