Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu chính phủ đấu thầu đợt 01/2002
Mã chứng khoán:,CP4_0102
Mã ISIN:,VN00CP401029
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,1.800.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,180.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,8.3%/năm
Cách thức trả lãi:,
Kỳ hạn:,10 năm
Ngày phát hành:,06/05/2002
Ngày đáo hạn:,06/05/2012
Nơi quản lý tại VSD:,Trụ sở chính
