Keys,Values
Tên TCPH:,"
Tổng Công ty Đầu tư Phát triển đường cao tốc Việt Nam - Công ty TNHH Một thành viên
"
Tên chứng khoán:,Trái phiếu Tổng Công ty Đầu tư Phát triển đường cao tốc Việt Nam - Công ty TNHH Một thành viên
Mã chứng khoán:,VEC11003
Mã ISIN:,VN0VEC110031
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,11/2010/GCNTP-VSD cấp ngày 08/3/2010
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,13.3%/năm
Cách thức trả lãi:,"Tiền lãi trái phiếu được trả sau, định kỳ hàng năm vào ngày trùng với ngày phát hành, không tính lãi nhập gốc. Tiền gốc trái phiếu được thanh toán một lần khi đến hạn."
Kỳ hạn:,5 năm
Ngày phát hành:,24/02/2010
Ngày đáo hạn:,24/02/2015
Nơi quản lý tại VSD:,Trụ sở chính
