Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ
Mã chứng khoán:,QHB0810003
Mã ISIN:,VNQHB0810005
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,03/2008/GCNTP-TTLK ngày 24/01/2008
Tổng số chứng khoán đăng ký:,12.600.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.260.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,
Cách thức trả lãi:,
Kỳ hạn:,2 năm
Ngày phát hành:,15/01/2008
Ngày đáo hạn:,15/01/2010
Nơi quản lý tại VSD:,Trụ sở chính
