Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán KIS Việt Nam
"
Tên chứng quyền:,Chứng quyền.TCH.KIS.M.CA.T.03
Mã chứng quyền:,CTCH2003
Mã ISIN:,VN0CTCH20031
Mã chứng khoán cơ sở:,TCH
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,10 tháng
Ngày đáo hạn:,16/08/2021
Tỷ lệ chuyển đổi:,"3,9020:1"
Giá thực hiện:,23.410  đồng
Giá phát hành lần đầu:,1.600  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,số 196/2020/GCNCW-VSD do VSD cấp ngày 27/10/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,3.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,4.800.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,6.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
