Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH đợt 10/2003
Mã chứng khoán:,CP4A1003
Mã ISIN:,VN0CP4A10038
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,14/GCN/TTGDHCM-LK
Tổng số chứng khoán đăng ký:,1.420.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,142.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,9.18%/năm
Cách thức trả lãi:,"Trả trước, định kỳ hàng năm"
Kỳ hạn:,15 năm
Ngày phát hành:,14/05/2003
Ngày đáo hạn:,14/05/2018
Nơi quản lý tại VSD:,Trụ sở chính
