Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách xã hội
Mã chứng khoán:,BVBS14019
Mã ISIN:,VNBVBS140195
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 43/2014/GCNTP-VSD do TTLKCK Việt Nam cấp ngày 24/04/2014
Tổng số chứng khoán đăng ký:,1.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"6,8%/năm"
Cách thức trả lãi:,Tiền lãi được trả sau mỗi năm một lần trùng với ngày phát hành. Tiền gốc được thanh toán một lần bằng mệnh giá khi đến hạn
Kỳ hạn:,3 năm
Ngày phát hành:,24/04/2014
Ngày đáo hạn:,24/04/2017
Nơi quản lý tại VSD:,Trụ sở chính
