Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán Ngân hàng Đầu tư và phát triển Việt Nam
"
Tên chứng quyền:,Chứng quyền FPT/BSC/C/6M/EU/Cash/2020-01
Mã chứng quyền:,CFPT2013
Mã ISIN:,VN0CFPT20136
Mã chứng khoán cơ sở:,FPT
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty Cổ phần FPT
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,6 tháng
Ngày đáo hạn:,08/04/2021
Tỷ lệ chuyển đổi:,2:1
Giá thực hiện:,52.000  đồng
Giá phát hành lần đầu:,3.800  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số:   182/2020/GCNCW-VSD do VSD cấp lần đầu ngày 21/10/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,1.500.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,5.700.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,1.500.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
