Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,TP Chính Phủ BLPH(NHPTVN) kỳ hạn 5 năm
Mã chứng khoán:,QH061124
Mã ISIN:,VN0QH0611249
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,56/2006/GCNTP-TTLK ngày 17/10/2006
Tổng số chứng khoán đăng ký:,4.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,400.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,8.50%/năm
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,06/10/2006
Ngày đáo hạn:,06/10/2011
Nơi quản lý tại VSD:,Trụ sở chính
