Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 20/2013
Mã chứng khoán:,TD1316015
Mã ISIN:,VNTD13160153
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 33/2013/GCNTP-VSD do VSD cấp lần đầu ngày 01/04/2013,  Số 33/2013/GCNTP-VSD-1 cấp sửa đổi lần thứ 1 ngày 15/05/2013"
Tổng số chứng khoán đăng ký:,50.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.000.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"7,8%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 31/03 từ năm 2014 đến năm đáo hạn."
Kỳ hạn:,3 năm
Ngày phát hành:,31/03/2013
Ngày đáo hạn:,31/03/2016
Nơi quản lý tại VSD:,Trụ sở chính
