Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán MB
"
Tên chứng quyền:,Chứng quyền CTCB03MBS21CE
Mã chứng quyền:,CTCB2202
Mã ISIN:,VN0CTCB22022
Mã chứng khoán cơ sở:,TCB
Tổ chức phát hành mã chứng khoán cơ sở:,Ngân hàng Thương mại cổ phần Kỹ thương Việt Nam
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,4 tháng
Ngày đáo hạn:,09/06/2022
Tỷ lệ chuyển đổi:,5:1
Giá thực hiện:,52.000  đồng
Giá phát hành lần đầu:,2.080  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số: 30/2022/GCNCW-VSD do VSD cấp lần đầu ngày 22/02/2022
Số lượng chứng quyền đăng ký lần đầu tại VSD:,5.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,10.400.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,5.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
