Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách xã hội được Chính phủ bảo lãnh
Mã chứng khoán:,VBS111034
Mã ISIN:,VNVBS1110345
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,34/2011/GCNTP-VSD
Tổng số chứng khoán đăng ký:,15.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.500.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,13.2%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,2 năm
Ngày phát hành:,14/06/2011
Ngày đáo hạn:,14/06/2013
Nơi quản lý tại VSD:,Trụ sở chính
