Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 10/2007
Mã chứng khoán:,CP071220
Mã ISIN:,VN0CP0712206
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,49/2007/GCNTP-TTLK
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,7.15%/năm
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,13/06/2007
Ngày đáo hạn:,13/06/2012
Nơi quản lý tại VSD:,Trụ sở chính
