Keys,Values
Tên TCPH:,"
Công ty Cổ phần Tập đoàn Masan
"
Tên chứng khoán:,Trái phiếu BondMSN012023
Mã chứng khoán:,MSN12002
Mã ISIN:,VN0MSN120024
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 10/2020/GCNTP-VSD do VSD cấp ngày 29/5/2020
Tổng số chứng khoán đăng ký:,30.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,3.000.000.000.000 đồng
Hình thức phát hành:,Trái phiếu được phát hành ra công chúng 
Lãi suất:," Lãi suất kết hợp giữa lãi suất thả nổi và lãi suất cố định, cụ thể:

+ Đối với 02 kỳ tính lãi đầu tiên: 9,3%/năm; 

    + Đối với mỗi kỳ tính lãi sau 02 kỳ tính lãi đầu tiên: Tổng của 2,5%/năm và lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt Nam do Ngân hàng TMCP Công thương Việt Nam - Chi nhánh thành phố Hà Nội, Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch, Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Sở Giao dịch và Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1, công bố vào ngày xác định lãi suất có liên quan."
Cách thức trả lãi:, Chuyển khoản 
Kỳ hạn:,03 năm
Ngày phát hành:,09/03/2020
Ngày đáo hạn:,09/03/2023
Nơi quản lý tại VSD:,Chi nhánh
