Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 04/2015
Mã chứng khoán:,TD1520259
Mã ISIN:,VNTD15202599
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 10/2015/GCNTP-VSD do VSD cấp lần đầu ngày 30/01/2015, Số 10/2015/GCNTP-VSD-1 cấp thay đổi lần 1 ngày 06/02/2015
"
Tổng số chứng khoán đăng ký:,105.443.002 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,10.544.300.200.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"5,4%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày  31/01 từ năm 2016 đến năm đáo hạn.							"
Kỳ hạn:,5 năm
Ngày phát hành:,31/01/2015
Ngày đáo hạn:,31/01/2020
Nơi quản lý tại VSD:,Trụ sở chính
