Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ
Mã chứng khoán:,QHD0818030
Mã ISIN:,VNBD08180307
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,30/2008/GCNTP-TTLK
Tổng số chứng khoán đăng ký:,1.170.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,117.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,15%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,10 năm
Ngày phát hành:,20/08/2008
Ngày đáo hạn:,20/08/2018
Nơi quản lý tại VSD:,Trụ sở chính
