Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán VnDirect
"
Tên chứng quyền:,Chứng quyền.VPB.VND.M.CA.T.2022.1
Mã chứng quyền:,CVPB2202
Mã ISIN:,VN0CVPB22020
Mã chứng khoán cơ sở:,VPB
Tổ chức phát hành mã chứng khoán cơ sở:,Ngân hàng Thương mại cổ phần Việt Nam Thịnh Vượng
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,"4,5 tháng"
Ngày đáo hạn:,18/07/2022
Tỷ lệ chuyển đổi:,2:1
Giá thực hiện:,39.000  đồng
Giá phát hành lần đầu:,3.500  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,số: 43/2022/GCNCW-VSD do VSD cấp lần đầu ngày 15/03/2022
Số lượng chứng quyền đăng ký lần đầu tại VSD:,8.500.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,29.750.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,8.500.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
