Keys,Values
Tên TCPH:,"
Ngân hàng Chính sách Xã hội
"
Tên chứng khoán:,Trái phiếu Ngân hàng Chính sách xã hội
Mã chứng khoán:,BVBS13078
Mã ISIN:,VNBVBS130782
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 12/2013/GCNTP-VSD  do VSD cấp ngày 01/03/2013
Tổng số chứng khoán đăng ký:,2.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"9,7%/năm"
Cách thức trả lãi:,Tiền lãi được trả sau mỗi năm một lần trùng với ngày phát hành. Tiền gốc được thanh toán một lần bằng mệnh giá khi đến hạn
Kỳ hạn:,3 năm
Ngày phát hành:,01/03/2013
Ngày đáo hạn:,01/03/2016
Nơi quản lý tại VSD:,Trụ sở chính
