Keys,Values
Tên TCPH:,"
Công ty cổ phần Giáo dục Thành Thành Công
"
Tên chứng khoán:,Trái phiếu TTCE122022
Mã chứng khoán:,TCE11723
Mã ISIN:,VN0TCE117238
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 16/2018/GCNTP-VSD ngày do VSD cấp ngày 05/06/2018 
Tổng số chứng khoán đăng ký:,801.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,80.100.000.000 đồng
Hình thức phát hành:,Bảo lãnh phát hành theo hình thức cố gắng tối đa 
Lãi suất:,"+ Lãi suất áp dụng cho 02 kỳ hạn 06 tháng đầu tiên: 10,0%/năm
+ Lãi suất áp dụng cho mỗi kỳ hạn 06 tháng tiếp theo: Bằng lãi suất tham chiếu của kỳ hạn đó cộng 3,5%/năm. Trong đó lãi suất tham chiếu là trung bình cộng của lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt Nam do Ngân hàng TMCP Công thương Việt Nam (áp dụng tại Chi nhánh thành phố Hà Nội), Ngân hàng TMCP Ngoại thương Việt Nam (áp dụng tại Sở Giao dịch), Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (áp dụng tại Sở Giao dịch) và Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (áp dụng tại Chi nhánh Sở Giao dịch 1) công bố vào ngày làm việc thứ 7 trước ngày đầu tiên của kỳ hạn đó.
"
Cách thức trả lãi:,Thanh toán định kỳ 06 tháng/lần bằng hình thức chuyển khoản 
Kỳ hạn:,05 năm
Ngày phát hành:,29/12/2017
Ngày đáo hạn:,29/12/2022
Nơi quản lý tại VSD:,Chi nhánh
