Keys,Values
Tên TCPH:,"
Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va
"
Tên chứng khoán:,NVLB2123012
Mã chứng khoán:,NVL122001
Mã ISIN:,VNNVL1220011
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HNX
Giấy chứng nhận ĐKCK:,Số: 16/2022/GCNTPDN-VSD do VSD cấp lần đầu ngày 28/04/2022
Tổng số chứng khoán đăng ký:,13.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.300.000.000.000 đồng
Hình thức phát hành:,Trái phiếu phát hành ra công chúng
Lãi suất:,"Trái phiếu có lãi suất kết hợp giữa lãi suất cố định và lãi suất thả nổi, cụ thể như sau:

+ Đối với 4 kỳ tính lãi đầu tiên: Lãi suất cố định 9,5%/năm; và

+ Đối với các kỳ tính lãi còn lại: Lãi suất thả nổi bằng tổng của 3,28%/năm và lãi suất cơ sở trung dài hạn dành cho khách hàng doanh nghiệp thuộc Khối Ngân hàng bán buôn áp dụng cho các khoản vay/trái phiếu trung dài hạn phát sinh từ ngày 30/03/2021 với kỳ định giá 3 tháng, do Ngân hàng TMCP Kỹ thương Việt Nam công bố vào hoặc vào khoảng 11h00 giờ sáng (giờ Việt Nam) của ngày xác định lãi suất của kỳ tính lãi có liên quan."
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,
Ngày phát hành:,20/01/2022
Ngày đáo hạn:,20/07/2023
Nơi quản lý tại VSD:,Chi nhánh
