Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 23/2013
Mã chứng khoán:,TD1315004
Mã ISIN:,VNTD13150048
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số 42/2013/GCNTP-VSD do VSD cấp lần đầu ngày 15/04/2013,  Số 42/2013/GCNTP-VSD-2 cấp thay đổi lần thứ 2 ngày 31/05/2013"
Tổng số chứng khoán đăng ký:,59.980.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.998.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"7,4%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 15/04 từ năm 2014 đến năm đáo hạn"
Kỳ hạn:,2 năm
Ngày phát hành:,15/04/2013
Ngày đáo hạn:,15/04/2015
Nơi quản lý tại VSD:,Trụ sở chính
