Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH (QHTPT) đợt 14/2003
Mã chứng khoán:,CP4A1403
Mã ISIN:,VN0CP4A14030
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,600.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,60.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,8.51%/năm
Cách thức trả lãi:,
Kỳ hạn:,10 năm
Ngày phát hành:,13/06/2003
Ngày đáo hạn:,13/06/2013
Nơi quản lý tại VSD:,Trụ sở chính
