Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu được Chính phủ bảo lãnh kỳ hạn 02 năm
Mã chứng khoán:,QHB1012018
Mã ISIN:,VNBB10120186
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,3.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,300.000.000.000 đồng
Hình thức phát hành:,
Lãi suất:,12.1%/năm
Cách thức trả lãi:,
Kỳ hạn:,2 năm
Ngày phát hành:,25/03/2010
Ngày đáo hạn:,25/03/2012
Nơi quản lý tại VSD:,Trụ sở chính
