Keys,Values
Tên TCPH:,"
Công ty Cổ phần  Vinpearl
"
Tên chứng khoán:,Trái phiếu VPL72020
Mã chứng khoán:,VPL11809
Mã ISIN:,VN0VPL118097
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,số 10/2019/GCNTP-VSD do VSD cấp ngày 23/04/2019
Tổng số chứng khoán đăng ký:,15.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,1.500.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh phát hành theo hình thức cố gắng tối đa
Lãi suất:," Kết hợp giữa lãi suất thả nổi và lãi suất cố định. Cụ thể:

+ Lãi suất áp dụng cho 02 kỳ hạn 06 tháng đầu tiên:  10,1%/năm

    + Lãi suất áp dụng cho mỗi kỳ hạn 06 tháng tiếp theo: Tổng của 4,0%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt nam do Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (áp dụng tại Chi nhánh Sở Giao dịch 1), Ngân hàng TMCP Ngoại thương Việt Nam (áp dụng tại Sở Giao dịch), Ngân hàng TMCP Công thương Việt Nam (áp dụng tại Chi nhánh Hà Nội) và Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (áp dụng tại Sở Giao dịch) công bố vào khoảng 11:00 giờ sáng (giờ Việt Nam) ngày xác định lãi suất của kỳ tính lãi đó."
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,24 tháng
Ngày phát hành:,31/07/2018
Ngày đáo hạn:,31/07/2020
Nơi quản lý tại VSD:,Trụ sở chính
