Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 172/2018
Mã chứng khoán:,TD1833128
Mã ISIN:,VNTD18331288
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số: 54/2018/GCNTP-VSD do VSD cấp ngày 15/11/2018, số 54/2018/GCNTP-VSD-3 cấp thay đổi lân 3 ngày 06/12/2018"
Tổng số chứng khoán đăng ký:,58.100.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.810.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"5,3%/năm"
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 15/11 từ năm 2019 đến năm đáo hạn.	"
Kỳ hạn:,15 năm
Ngày phát hành:,15/11/2018
Ngày đáo hạn:,15/11/2033
Nơi quản lý tại VSD:,Trụ sở chính
