Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 22/2007
Mã chứng khoán:,CPD071241
Mã ISIN:,VNCPD0712416
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,1.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,100.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,8.5%/năm
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,28/11/2007
Ngày đáo hạn:,28/11/2012
Nơi quản lý tại VSD:,Trụ sở chính
