Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Ngân hàng Phát triển Việt Nam
Mã chứng khoán:,BVDB12208
Mã ISIN:,VNBVDB122083
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,93/2012/GCNTP-VSD cấp ngày 13/12/2012
Tổng số chứng khoán đăng ký:,5.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,500.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"10,6%/năm"
Cách thức trả lãi:,"Tiền lãi trái phiếu được trả sau mỗi năm một lần vào ngày trùng với ngày phát hành trái phiếu. Lãi trái phiếu được bảo lưu, không tính nhập gốc. Tiền gốc trái phiếu được thanh toán một lần bằng mệnh giá khi đến hạn."
Kỳ hạn:,3 năm
Ngày phát hành:,13/12/2012
Ngày đáo hạn:,13/12/2015
Nơi quản lý tại VSD:,Trụ sở chính
