Keys,Values
Tên TCPH:,"
Công ty cổ phần Chứng khoán VnDirect
"
Tên chứng quyền:,Chứng quyền.MBB.VND.M.CA.T.2022.1
Mã chứng quyền:,CMBB2202
Mã ISIN:,VN0CMBB22029
Mã chứng khoán cơ sở:,MBB
Tổ chức phát hành mã chứng khoán cơ sở:,Ngân hàng thương mại cổ phần Quân Đội
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,"4,5 tháng"
Ngày đáo hạn:,18/07/2022
Tỷ lệ chuyển đổi:,"1,5:1"
Giá thực hiện:,35.000  đồng
Giá phát hành lần đầu:,4.000  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,số: 37/2022/GCNCW-VSD do VSD cấp lần đầu ngày 15/03/2022
Số lượng chứng quyền đăng ký lần đầu tại VSD:,8.500.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,34.000.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,8.500.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
