Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 96/2016
Mã chứng khoán:,TD1621487
Mã ISIN:,VNTD16214874
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,"Số: 72/2016/GCNTP-VSD do VSD cấp lần đầu ngày 18/08/2016, Số: 72/2016/GCNTP-VSD-1 cấp thay đổi lần 1 ngày 25/08/2016"
Tổng số chứng khoán đăng ký:,65.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,6.500.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,5.9%/năm
Cách thức trả lãi:,"Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày 18/08 từ năm 2017 đến năm đáo hạn."
Kỳ hạn:,5 năm
Ngày phát hành:,18/08/2016
Ngày đáo hạn:,18/08/2021
Nơi quản lý tại VSD:,Trụ sở chính
