Keys,Values
Tên TCPH:,"
Công ty cổ phần Vinhomes
"
Tên chứng khoán:,Trái phiếu NHN102020
Mã chứng khoán:,VHM11726
Mã ISIN:,VN0VHM117262
Loại chứng khoán:,Trái phiếu doanh nghiệp
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,HOSE
Giấy chứng nhận ĐKCK:,Số:  38/2018/GCNTP-VSD do VSD cấp ngày 17/09/2018
Tổng số chứng khoán đăng ký:,55.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,5.500.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh phát hành theo hình thức cố gắng tối đa
Lãi suất:,"+ Lãi suất áp dụng cho 02 kỳ hạn 06 tháng đầu tiên: 	9,2%/năm
    + Lãi suất áp dụng cho mỗi kỳ hạn 06 tháng tiếp theo:  Tổng của 3,25%/năm và lãi suất tham chiếu. Trong đó, lãi suất tham chiếu là trung bình cộng của các mức lãi suất tiền gửi tiết kiệm cá nhân (trả lãi sau) kỳ hạn 12 tháng (hoặc tương đương) bằng đồng Việt nam do Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (áp dụng tại Chi nhánh Sở Giao dịch 1), Ngân hàng TMCP Ngoại thương Việt Nam (áp dụng tại Sở Giao dịch), Ngân hàng TMCP Công thương Việt Nam (áp dụng tại Chi nhánh Hà Nội) và Ngân hàng Nông nghiệp & Phát triển Nông  thôn Việt Nam (áp dụng tại Sở Giao dịch) công bố vào ngày xác định lãi suất có liên quan."
Cách thức trả lãi:,Chuyển khoản
Kỳ hạn:,36 tháng
Ngày phát hành:,19/10/2017
Ngày đáo hạn:,19/10/2020
Nơi quản lý tại VSD:,Trụ sở chính
