Keys,Values
Tên TCPH:,"
Công ty Cổ phần Chứng khoán SSI
"
Tên chứng quyền:,Chứng quyền MWG/4M/SSI/C/EU/CASH-03
Mã chứng quyền:,CMWG2004
Mã ISIN:,VN0CMWG20044
Mã chứng khoán cơ sở:,MWG
Tổ chức phát hành mã chứng khoán cơ sở:,Công ty cổ phần Đầu tư Thế giới Di động
Loại chứng quyền:,Mua
Kiểu thực hiện:,Kiểu châu Âu
Phương thức thực hiện chứng quyền:,Bằng tiền
Thời hạn:,4 tháng
Ngày đáo hạn:,15/06/2020
Tỷ lệ chuyển đổi:,1:1
Giá thực hiện:,105.000  đồng
Giá phát hành lần đầu:,13.600  đồng/chứng quyền
Sàn giao dịch:,HOSE
Giấy chứng nhận đăng ký chứng quyền:,Số:   40/2020/GCNCW-VSD do VSD cấp ngày 11/3/2020
Số lượng chứng quyền đăng ký lần đầu tại VSD:,1.000.000 Chứng quyền
Giá trị chứng quyền đăng ký lần đầu tại VSD theo giá phát hành:,13.600.000.000 đồng
Tổng số chứng quyền đăng ký tại VSD:,1.000.000 chứng quyền
Hình thức đăng ký:,Ghi sổ
Nơi quản lý tại VSD:,Trụ sở chính
