Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu chính phủ BLPH
Mã chứng khoán:,QH071210
Mã ISIN:,VN0QH0712104
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,14/2007/GCNTP-TTLK ngày 05/2/2007
Tổng số chứng khoán đăng ký:,6.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,600.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,8.40%/năm
Cách thức trả lãi:,
Kỳ hạn:,5 năm
Ngày phát hành:,22/01/2007
Ngày đáo hạn:,22/01/2012
Nơi quản lý tại VSD:,Trụ sở chính
