Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH đợt 10/2002
Mã chứng khoán:,CP4A1002
Mã ISIN:,VN0CP4A10020
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,60/GCN/TTGD-LK
Tổng số chứng khoán đăng ký:,700.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,70.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,9.18%/năm
Cách thức trả lãi:,"Trả trước, định kỳ hàng năm"
Kỳ hạn:,15 năm
Ngày phát hành:,12/12/2002
Ngày đáo hạn:,12/12/2017
Nơi quản lý tại VSD:,Trụ sở chính
