Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Tín phiếu Kho bạc đấu thầu đợt 20/2013
Mã chứng khoán:,TPKB13040
Mã ISIN:,VNTPKB130408
Loại chứng khoán:,Tín phiếu Kho bạc
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Tín Phiếu
Giấy chứng nhận ĐKCK:,Số 19/2013/GCNTPKB-VSD do TTLKCK Việt Nam cấp ngày 13/08/2013
Tổng số chứng khoán đăng ký:,10.000.000 Tín phiếu 
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức đăng ký:,Đấu thầu
Nơi quản lý tại VSD:,Trụ sở chính
