Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Trái phiếu Chính phủ đấu thầu đợt 119/2015
Mã chứng khoán:,TD1518358
Mã ISIN:,VNTD15183583
Loại chứng khoán:,Trái phiếu Chính phủ
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,Số 110/2015/GCNTP-VSD do VSD cấp ngày 10/12/2015
Tổng số chứng khoán đăng ký:,104.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,10.400.000.000.000 đồng
Hình thức phát hành:,Đấu thầu
Lãi suất:,"5,8%/năm"
Cách thức trả lãi:," Tiền gốc trái phiếu được thanh toán 01 lần khi đến hạn, tiền lãi trái phiếu được thanh toán định kỳ hàng năm vào ngày  10/03 từ năm 2017 đến năm đáo hạn."
Kỳ hạn:,3 năm
Ngày phát hành:,10/12/2015
Ngày đáo hạn:,10/03/2019
Nơi quản lý tại VSD:,Trụ sở chính
