Keys,Values
Tên TCPH:,"
Kho bạc Nhà nước- Bộ tài chính
"
Tên chứng khoán:,Tín phiếu Kho bạc đấu thầu đợt 27/2013
Mã chứng khoán:,TPKB13047
Mã ISIN:,VNTPKB130473
Loại chứng khoán:,Tín phiếu Kho bạc
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Tín Phiếu
Giấy chứng nhận ĐKCK:,Số 24/2013/GCNTPKB-VSD do TTLKCK Việt Nam cấp ngày 08/10/2013
Tổng số chứng khoán đăng ký:,10.000.000 Tín phiếu 
Tổng giá trị chứng khoán đăng ký:,1.000.000.000.000 đồng
Hình thức đăng ký:,Đấu thầu
Nơi quản lý tại VSD:,Trụ sở chính
