Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ
Mã chứng khoán:,QHB0818048
Mã ISIN:,VNBB08180481
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,48/2008/GCNTP-TTLK
Tổng số chứng khoán đăng ký:,1.200.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,120.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,15%/năm
Cách thức trả lãi:,"Trả sau, định kỳ hàng năm"
Kỳ hạn:,10 năm
Ngày phát hành:,23/09/2008
Ngày đáo hạn:,23/09/2018
Nơi quản lý tại VSD:,Trụ sở chính
