Keys,Values
Tên TCPH:,"
Ngân hàng Phát triển Việt Nam
"
Tên chứng khoán:,Trái phiếu Chính phủ BLPH (QHTPT) đợt 2/2002
Mã chứng khoán:,CP4A0202
Mã ISIN:,VN0CP4A02027
Loại chứng khoán:,Trái phiếu được Chính phủ bảo lãnh
Mệnh giá:,100.000 đồng
Sàn giao dịch (*):,Trái phiếu chuyên biệt
Giấy chứng nhận ĐKCK:,
Tổng số chứng khoán đăng ký:,2.000.000 Trái phiếu
Tổng giá trị chứng khoán đăng ký:,200.000.000.000 đồng
Hình thức phát hành:,Bảo lãnh
Lãi suất:,9.15%/năm
Cách thức trả lãi:,
Kỳ hạn:,10 năm
Ngày phát hành:,20/06/2002
Ngày đáo hạn:,20/06/2012
Nơi quản lý tại VSD:,Trụ sở chính
