STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,200.000.000.000,Số 44/2014/GCNTP-VSD do VSD cấp ngày 24/04/2014,24/04/2014
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,200.000.000.000,,
