STT,Lần đăng ký,Lý do,Số lượng,Giá trị,Số GCNĐKCK,Ngày cấp
1,Cấp lần đầu,Đăng ký lần đầu,2.000.000,200.000.000.000,40/2006/GCNTP-TTLK,05/09/2006
Tổng cộng:,Tổng cộng:,Tổng cộng:,2.000.000,200.000.000.000,,
